Output File                                              Name                            Type        FSH File                       Lines
Bundle-EjBundleSolicitud.json                            EjBundleSolicitud               Instance    ejBundleSoli.fsh               1 - 16
CodeSystem-CSSAsignacion.json                            CSSAsignacion                   CodeSystem  CodeSystem.fsh                 148 - 164
CodeSystem-CSSCondicionClinica.json                      CSSCondicionClinica             CodeSystem  CodeSystem.fsh                 51 - 62
CodeSystem-CSSCondicionClinicaDiagnostico.json           CSSCondicionClinicaDiagnostico  CodeSystem  CodeSystem.fsh                 65 - 76
CodeSystem-CSSDocumento1.json                            CSSDocumento1                   CodeSystem  CodeSystem.fsh                 2 - 19
CodeSystem-CSSEstadoClinico.json                         CSSEstadoClinico                CodeSystem  CodeSystem.fsh                 36 - 49
CodeSystem-CSSIdentificador.json                         CSSIdentificador                CodeSystem  CodeSystem.fsh                 22 - 33
CodeSystem-CSSServicioSolicitante.json                   CSSServicioSolicitante          CodeSystem  CodeSystem.fsh                 110 - 129
CodeSystem-CSSSitioCuerpo.json                           CSSSitioCuerpo                  CodeSystem  CodeSystem.fsh                 131 - 146
CodeSystem-CSSSospechaDiagnosticada.json                 CSSSospechaDiagnosticada        CodeSystem  CodeSystem.fsh                 79 - 92
CodeSystem-CSSTelefono.json                              CSSTelefono                     CodeSystem  CodeSystem.fsh                 97 - 108
Composition-CondicionClinica.json                        EjAmbitoClinico                 Instance    Ejemplos.fsh                   328 - 354
Composition-DOcumento.json                               EjDocumentoResultados           Instance    Ejemplos.fsh                   139 - 188
Composition-doc.json                                     EjDocumento                     Instance    Ejemplos.fsh                   79 - 118
DiagnosticReport-identificador.json                      EjDiagnostico                   Instance    Ejemplos.fsh                   41 - 73
Organization-EjOrganizacionCL.json                       EjOrganizacionCL                Instance    Ejemplos.fsh                   124 - 135
Patient-P1.json                                          EjPaciente                      Instance    Ejemplos.fsh                   2 - 37
Practitioner-P1.json                                     EjProfesional                   Instance    Ejemplos.fsh                   193 - 226
Procedure-identificador.json                             EjProcedimientosQuirurgicos     Instance    Ejemplos.fsh                   303 - 323
ServiceRequest-identificador.json                        EjServicioSolicitante           Instance    Ejemplos.fsh                   271 - 297
Specimen-identificador.json                              EjMuestra                       Instance    Ejemplos.fsh                   230 - 265
StructureDefinition-AmbitoClinico.json                   AmbitoClinico                   Profile     AmbitoClinico.fsh              1 - 18
StructureDefinition-Asignacion1.json                     Asignacion1                     Extension   Extensiones.fsh                65 - 72
StructureDefinition-BundleResultados.json                BundleResultados                Profile     bundleResultados.fsh           1 - 105
StructureDefinition-BundleSolicitud.json                 BundleSolicitud                 Profile     BundleSolicitud.fsh            1 - 88
StructureDefinition-CSSCondicionClinicaDiagnostico.json  CSSCondicionClinicaDiagnostico  Extension   Extensiones.fsh                83 - 90
StructureDefinition-CondicionClinica.json                CondicionClinica                Extension   Extensiones.fsh                74 - 81
StructureDefinition-Diagnostico.json                     Diagnostico                     Profile     Diagnostico.fsh                2 - 46
StructureDefinition-Documento1.json                      Documento1                      Extension   Extensiones.fsh                2 - 9
StructureDefinition-DocumentoBiopsia.json                DocumentoBiopsia                Profile     DocumentoBiopsia.fsh           2 - 102
StructureDefinition-DocumentoResultados.json             DocumentoResultados             Profile     DocumentoResultados.fsh        2 - 127
StructureDefinition-EstadoClinico.json                   EstadoClinico                   Extension   Extensiones.fsh                20 - 27
StructureDefinition-Identificador.json                   Identificador                   Extension   Extensiones.fsh                11 - 18
StructureDefinition-Informe.json                         Informe                         Logical     Gsolicitud.fsh                 1 - 34
StructureDefinition-Muestra.json                         Muestra                         Profile     Muestra.fsh                    1 - 27
StructureDefinition-Organizacion.json                    Organizacion                    Profile     Organización.fsh               2 - 8
StructureDefinition-Paciente.json                        Paciente                        Profile     patient.fsh                    2 - 18
StructureDefinition-ProcedimientosQuirurgicos.json       ProcedimientosQuirurgicos       Profile     ProcedimientosQuirurgicos.fsh  2 - 33
StructureDefinition-Profesional.json                     Profesional                     Profile     Profesional.fsh                4 - 17
StructureDefinition-ServicioSolicitante.json             ServicioSolicitante             Profile     ServicioSolicitante.fsh        2 - 59
StructureDefinition-ServicioSolicitante1.json            ServicioSolicitante1            Extension   Extensiones.fsh                56 - 63
StructureDefinition-Sitio1.json                          Sitio1                          Extension   Extensiones.fsh                47 - 54
StructureDefinition-SospechaDiagnosticada.json           SospechaDiagnosticada           Extension   Extensiones.fsh                29 - 36
StructureDefinition-Telefono1.json                       Telefono1                       Extension   Extensiones.fsh                38 - 45
ValueSet-VSSAsignacion.json                              VSSAsignacion                   ValueSet    ValueSet.fsh                   114 - 123
ValueSet-VSSCondicionClinica.json                        VSSCondicionClinica             ValueSet    ValueSet.fsh                   63 - 72
ValueSet-VSSCondicionClinicaDiagnostico.json             VSSCondicionClinicaDiagnostico  ValueSet    ValueSet.fsh                   50 - 59
ValueSet-VSSDocumento1.json                              VSSDocumento1                   ValueSet    ValueSet.fsh                   2 - 11
ValueSet-VSSEstadoClinico.json                           VSSEstadoClinico                ValueSet    ValueSet.fsh                   26 - 35
ValueSet-VSSIdentificador.json                           VSSIdentificador                ValueSet    ValueSet.fsh                   14 - 23
ValueSet-VSSServicioSolicitante.json                     VSSServicioSolicitante          ValueSet    ValueSet.fsh                   90 - 99
ValueSet-VSSSitioCuerpo.json                             VSSSitioCuerpo                  ValueSet    ValueSet.fsh                   102 - 111
ValueSet-VSSSospechaDiagnosticada.json                   VSSSospechaDiagnosticada        ValueSet    ValueSet.fsh                   38 - 47
ValueSet-VSSTelefono.json                                VSSTelefono                     ValueSet    ValueSet.fsh                   77 - 86
